run,optimiser,objective,best_metric_name,best_metric_value,best_score,evals,total_return,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,car_mdd_ratio,ulcer_index,max_drawdown
dehb_cagr_b100,dehb(native),cagr,CAGR,0.0627111388080357,-0.04271113880803569,100,0.41800559061509657,0.0627111388080357,0.3311500948715936,0.49235684253723244,0.4269358197990169,0.2562482621945622,0.07016340142799843,-0.2447280550157287
dehb_composite_b100,dehb(native),composite,composite,,-0.5585900822323474,100,0.2467957327728778,0.12250420865497635,0.7539618228819303,1.0592347515904394,0.7924869996941701,0.7924869996941701,0.03450312992382053,-0.15458197888703806
nevergrad_cagr_b100,nevergrad(NGOpt),cagr,CAGR,0.0964001906525005,-0.07640019065250049,100,0.6963096144961578,0.0964001906525005,0.4898572352102465,0.6967828738753612,1.12523136444891,0.334756961152031,0.04081246475069815,-0.28797068273277826
tpe_cagr_b100,tpe(optuna),cagr,CAGR,0.09033222476161962,-0.07033222476161961,100,0.6431048933224639,0.09033222476161962,0.482287477779837,0.6838847596310331,0.20210857221105466,0.31432924214069524,0.049327201340470216,-0.2873809135491966
