scenario,optimiser,objective,best_metric_name,best_metric_value,best_score,evals,strategy_total_return,strategy_cagr,strategy_sharpe,buyhold_total_return,buyhold_cagr,buyhold_sharpe,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown
A_dehb_sharpe_b100,dehb(native),sharpe,Sharpe ratio,-0.4889751919061879,0.5289751919061879,100,-0.6866480013546171,-0.0534549079711667,-0.34164560122229526,2.8049183193990443,0.06530643199584563,0.4208222314014405,-0.34230672528556716,-0.0452369247092681,-0.5012201412918047,-0.4238261813079074
B_nevergrad_sortino_low_cost_b100,nevergrad(NGOpt),sortino,Sortino ratio,1.1261841274956101,-1.06618412749561,100,5.1994757687865665,0.09021323659716396,0.5419229668726719,2.8049183193990443,0.06530643199584563,0.4208222314014405,0.39262954291419305,0.03726721135676314,0.21590241838173171,-0.30494242861558385
C_dehb_max_return_high_cost_b100,dehb(native),max_return,Total return,-0.9556151903274696,0.9956151903274696,100,-0.9556151903274696,-0.3577135769457135,-3.198666539942825,2.8049183193990443,0.06530643199584563,0.4208222314014405,-0.7107050197938718,-0.12805298589728165,-1.4713547624703402,-0.7144370791668115
D_dehb_max_return_dd20_b100,dehb(native),max_return_dd_cap,Total return (DD constrained),0.0,999.0,100,0.0,0.0,0.0,2.8049183193990443,0.06530643199584563,0.4208222314014405,0.0,0.0,-999.0,0.0
E_tpe_ulcer_b100,tpe(optuna),ulcer,Ulcer index,0.0023517726122973615,0.02235177261229736,100,0.2676674855193717,0.011291718884839153,0.2307169309435966,2.8049183193990443,0.06530643199584563,0.4208222314014405,0.007763080451625326,0.0008547017012989766,-2.7420194445970836,-0.010625577953956467
F_dehb_composite_b100,dehb(native),composite,composite,,0.4941011756935958,100,-0.5951661597703246,-0.04190669187602436,-0.3337073774574308,2.8049183193990443,0.06530643199584563,0.4208222314014405,-0.13726529275880273,-0.016179522248566447,-0.28966374537843576,-0.2393244031150893
G_tpe_cagr_low_cost_b100,tpe(optuna),cagr,CAGR,0.27792143021551907,-0.21792143021551907,100,176.70060945938624,0.27792143021551907,1.3156478654787036,2.8049183193990443,0.06530643199584563,0.4208222314014405,0.5888380187061093,0.052482410807013435,0.8624841734825193,-0.029327172890187825
H_nevergrad_calmar_high_cost_b100,nevergrad(NGOpt),calmar,Calmar ratio,0.5873616825476738,-0.5673616825476738,100,2.8726306995990805,0.06619642524323299,0.4248331850403308,2.8049183193990443,0.06530643199584563,0.4208222314014405,1.7255928087669932,0.11714307272913449,0.5830079597537955,-0.3416226307447934
I_indicator_subset,dehb(native),sharpe,Sharpe ratio,-0.5445725594828276,0.5845725594828276,100,-0.7494378675459121,-0.06342271586436221,-0.40207322261284323,2.8049183193990443,0.06530643199584563,0.4208222314014405,-0.016255887935728075,-0.0018090346907539967,-0.11477503875089398,-0.3050535401850608
J_leverage2_dd20_with_borrow,dehb(native),max_return_dd_cap,Total return (DD constrained),0.0,999.0,100,0.0,0.0,0.0,2.8049183193990443,0.06530643199584563,0.4208222314014405,-0.94372828959292,-0.2723295723530018,-1.671217266784516,-0.94372828959292
